Unnamed: 0,Year,Sem,Course Code,Section,AB,BB,DD,FR,Total,AA,BC,CC,CD,II,AU,FF,AP,PP,NP,W,S,pp,DX,Unnamed: 22,section_tag_div
5447,2021,2,CH 224,Total Grades Given for are,4.0,6.0,1.0,2.0,30,6.0,5.0,4.0,2.0,,,,,,,,,,,,
5448,2021,2,CH 398,Total Grades Given for are,,,,,2,2.0,,,,,,,,,,,,,,,
5449,2021,2,CH 404,Total Grades Given for are,25.0,23.0,,,81,17.0,7.0,6.0,3.0,,,,,,,,,,,,
5450,2021,2,CH 406,Total Grades Given for are,16.0,15.0,2.0,3.0,80,16.0,13.0,9.0,5.0,,,,1.0,,,,,,,,
5451,2021,2,CH 408,Total Grades Given for are,24.0,13.0,1.0,2.0,80,22.0,13.0,3.0,2.0,,,,,,,,,,,,
5452,2021,2,CH 410,Total Grades Given for are,17.0,14.0,,,62,23.0,6.0,2.0,,,,,,,,,,,,,
5453,2021,2,CH 418,Total Grades Given for are,75.0,11.0,1.0,,150,58.0,,2.0,3.0,,,,,,,,,,,,
5454,2021,2,CH 432,Total Grades Given for are,43.0,66.0,,,151,20.0,20.0,2.0,,,,,,,,,,,,,
5455,2021,2,CH 434,Total Grades Given for are,67.0,46.0,4.0,2.0,152,20.0,10.0,2.0,1.0,,,,,,,,,,,,
5456,2021,2,CH 438,Total Grades Given for are,30.0,16.0,3.0,3.0,80,15.0,10.0,1.0,1.0,,,,1.0,,,,,,,,
5457,2021,2,CH 442,Total Grades Given for are,13.0,30.0,3.0,6.0,85,5.0,13.0,9.0,4.0,,,,2.0,,,,,,,,
5458,2021,2,CH 481,Total Grades Given for are,9.0,16.0,2.0,1.0,50,7.0,9.0,3.0,2.0,,1.0,,,,,,,,,,
5459,2021,2,CH 504,Total Grades Given for are,8.0,6.0,,,52,30.0,5.0,,,,2.0,1.0,,,,,,,,,
5460,2021,2,CH 510,Total Grades Given for are,5.0,5.0,,,25,11.0,1.0,2.0,1.0,,,,,,,,,,,,
5461,2021,2,CH 552,Total Grades Given for are,18.0,2.0,,,76,53.0,1.0,,,,2.0,,,,,,,,,,
5462,2021,2,CH 560,Total Grades Given for are,,,,2.0,7,4.0,,,,,1.0,,,,,,,,,,
5463,2021,2,CH 576,Total Grades Given for are,4.0,1.0,,,14,7.0,,1.0,,,1.0,,,,,,,,,,
5464,2021,2,CH 578,Total Grades Given for are,11.0,2.0,,1.0,22,3.0,5.0,,,,,,,,,,,,,,
5465,2021,2,CH 588,Total Grades Given for are,4.0,3.0,,,11,4.0,,,,,,,,,,,,,,,
5466,2021,2,CH 592,Total Grades Given for are,,,,,10,10.0,,,,,,,,,,,,,,,
5467,2021,2,CH 594,Total Grades Given for are,1.0,1.0,,,47,41.0,1.0,2.0,,1.0,,,,,,,,,,,
5468,2021,2,CH 596,Total Grades Given for are,,1.0,,,2,1.0,,,,,,,,,,,,,,,
5469,2021,2,CH 806,Total Grades Given for are,8.0,6.0,,,26,7.0,2.0,,,,3.0,,,,,,,,,,
5470,2021,2,CH 824,Total Grades Given for are,2.0,,,,19,16.0,,,,,1.0,,,,,,,,,,
5471,2021,2,CH 831,Total Grades Given for are,2.0,,,,19,17.0,,,,,,,,,,,,,,,
5472,2021,2,CH 848,Total Grades Given for are,2.0,,,,4,,1.0,,,,1.0,,,,,,,,,,
5473,2021,2,CH 849,Total Grades Given for are,7.0,4.0,,,22,7.0,,,,,4.0,,,,,,,,,,
5474,2021,2,CH 864,Total Grades Given for are,5.0,2.0,,,13,2.0,2.0,1.0,,,1.0,,,,,,,,,,
5475,2021,2,CH 899,Total Grades Given for are,,,,,18,,,,,,,,,18.0,,,,,,,
5476,2021,2,CL 152,Total Grades Given for are,1.0,,,,1,,,,,,,,,,,,,,,,
5477,2021,2,CL 152,Total Grades Given for section S1 are,12.0,16.0,9.0,4.0,84,11.0,14.0,7.0,6.0,3.0,,,2.0,,,,,,,,S1
5478,2021,2,CL 152,Total Grades Given for section S2 are,19.0,15.0,5.0,3.0,87,11.0,15.0,8.0,7.0,3.0,,,1.0,,,,,,,,S2
5479,2021,2,CL 202,Total Grades Given for are,28.0,23.0,19.0,5.0,163,23.0,9.0,24.0,17.0,14.0,,,1.0,,,,,,,,
5480,2021,2,CL 232,Total Grades Given for are,19.0,55.0,2.0,3.0,149,13.0,21.0,26.0,9.0,1.0,,,,,,,,,,,
5481,2021,2,CL 254,Total Grades Given for section S1 are,7.0,17.0,17.0,7.0,83,4.0,12.0,10.0,9.0,,,,,,,,,,,,S1
5482,2021,2,CL 254,Total Grades Given for section S2 are,15.0,15.0,4.0,10.0,75,6.0,9.0,11.0,4.0,,,,1.0,,,,,,,,S2
5483,2021,2,CL 306,Total Grades Given for are,20.0,27.0,8.0,3.0,141,13.0,35.0,20.0,12.0,3.0,,,,,,,,,,,
5484,2021,2,CL 325,Total Grades Given for are,2.0,1.0,,,10,2.0,3.0,,,,2.0,,,,,,,,,,
5485,2021,2,CL 335,Total Grades Given for are,31.0,59.0,5.0,,138,13.0,18.0,5.0,7.0,,,,,,,,,,,,
5486,2021,2,CL 335,Total Grades Given for section S1 are,,,,1.0,1,,,,,,,,,,,,,,,,S1
5487,2021,2,CL 407,Total Grades Given for are,7.0,24.0,11.0,13.0,128,4.0,30.0,19.0,16.0,3.0,1.0,,,,,,,,,,
5488,2021,2,CL 445,Total Grades Given for are,9.0,10.0,,,48,27.0,,,,1.0,1.0,,,,,,,,,,
5489,2021,2,CL 451,Total Grades Given for are,8.0,30.0,14.0,16.0,136,8.0,23.0,28.0,6.0,,,,3.0,,,,,,,,
5490,2021,2,CL 451,Total Grades Given for section S1 are,,,,,136,,,,,,,,,,,,,,,,S1
5491,2021,2,CL 452,Total Grades Given for are,,,,1.0,1,,,,,,,,,,,,,,,,
5492,2021,2,CL 452,Total Grades Given for section S1 are,11.0,15.0,3.0,4.0,68,7.0,9.0,9.0,10.0,,,,,,,,,,,,S1
5493,2021,2,CL 452,Total Grades Given for section S2 are,6.0,9.0,2.0,,60,5.0,19.0,14.0,5.0,,,,,,,,,,,,S2
5494,2021,2,CL 465,Total Grades Given for are,2.0,3.0,,,8,3.0,,,,,,,,,,,,,,,
5495,2021,2,CL 494,Total Grades Given for are,1.0,1.0,,,7,4.0,,,,1.0,,,,,,,,,,,
5496,2021,2,CL 603,Total Grades Given for are,5.0,5.0,5.0,,59,9.0,14.0,8.0,9.0,3.0,1.0,,,,,,,,,,
5497,2021,2,CL 603,Total Grades Given for section M are,1.0,2.0,,,6,,,2.0,,,,,1.0,,,,,,,,M
